Código,Descripción
42152443-004,Tiras de Nitrato de Celulosa
42152443-005,Cemento oxifosfato de zinc
42152443-006,Oxido de Zinc Fraguado Rapido
42152443-999,Oxido de Zinc Fraguado Normal
42152453-001,Bisfenol glicidil metacrilato + trietilenglicol dimetacrilato solucion
42152454-001,Protector de la pulpa dental
42152456-001,Silicato polvo
42152456-002,Silicato liquido
42152456-003,Yeso polvo
42152457-001,Kits de cementado dental
42152465-001,Formocresol
42152465-002,Extracto pulpar
42152465-003,Loseta de vidrio
42152465-004,Pinza  para turbina
42152465-005,Soldador de Puntos
42152465-006,Condensador para Resina
42152465-007,Condensador para Cemento Odontologico
42152465-008,Pieza de Mano Odontologico
42152465-009,Tiranervios
42152465-010,Hidroxido de Calcio Crema de autocurado
42152465-011,Compresa Dental Gel Sintetico 
42152465-999,Eucaliptol Solucion
42152502-001,Babero desechable
42152502-002,Babero de tela no desechable
42152503-001,Porta dique
42152503-003,Tornillo de expansión para ortodoncia superior.
42152503-004,Tornillo de expansión p/ ortodoncia inferior.
42152503-005,Gomas p/aislamiento absoluto
42152503-006,Goma Dique
42152508-001,Jeringa - Carpule
42152508-002,Aguja para Jeringa Carpule
42152508-003,Jeringa Triple
42152508-004,Juego p/ irrigación y aspiración para uso endodóntico.
42152512-001,Pinza Porta Clamp
42152520-001,Escupidera Odontologica
42152701-001,Pasta para brillo
42152701-002,Pastilla de metal  de media Fusion
42152701-003,Piedra montada p/ torno convencional
42152701-004,Piedra montada p/ torno convencional
42152701-005,Piedra montada p/ torno convencional
42152701-998,Articulador dental
42152701-999,Piedra para afilar cureta dental
42152702-001,Pasta alveolar 
42152702-002,Iodormo + Aminobenzoato de Butilo + Eugenol + Penghawar
42152702-003,Cloruro de aluminio solucion
42152702-004,Eugenol Liquido
42152702-005,Iodoformo + eugenol
42152702-006,Sulfato de Potasio y Aluminio Solucion
42152707-001,Tubo de resina
42152708-9999,Resorte de expansion ortodontico
42152709-001,Elastico en baston
42152709-002,Elastico Ortodontico
42152713-001,Alicate odontologico
42152799-9999,Arenador Odontologico
42152802-001,Limas Periodentales
42152808-001,Legra para uso odontologico
42161504-001,Conectores para DPCA adulto
42161504-002,Conectores para DPCA pediatrico
42161506-001,Cateter para dialisis peritoneal 
42161507-001,Solucion dextrosa para dialisis peritoneal
42161507-002,Solucion para dialisis peritoneal
42161509-001,Set de recambio de dialisis peritoneal
42161601-001,Kits de cateter para Hemodialisis
42161601-002,Set de Cateter para Hemodialisis - adulto
42161601-003,Set de Cateter para Hemodialisis - pediatrico
42161601-004,Lineas arterio venosa para hemosialisis
42161601-005,Cateter para Hemodialisis
42161608-001,Solucion Acida
42161610-001,Tubuladura arterio venosa para hemódialisis
42161612-001,Filtro capilar para hemodialisis 
42161622-001,Solucion desincrustante para hemodialisis
42161631-001,Purificador de Agua para  Unidad de Hemodialisis
42161631-9999,Sistema de tratamiento de agua para hemodialisis
42161632-001,Equipo de hemodialisis
42161632-002,Cable detector de fuga para unidad de hemodialisis
42161632-003,Conector de linea de concentrado
42161632-004,Puerto de lavado
42161632-005,Pipeta para concentrado
42161632-006,Conector para dializador
42161632-007,Diafragma para unidad de hemodialisis
42161632-008,Sensor de flujo para unidad de hemoterapia
42161632-009,Cabezal de bomba para unidad de hemodialisis
42161632-010,Anillo de goma para unidad de hemodialisis
42161632-011,Sensor para unidad de hemodialisis
42161632-012,Transductor de presion con anillo
42161632-013,Placa fuente para unidad de hemodialisis
42161632-014,Placa de potencia para unidad de hemodialisis
42161632-015,Placa para unidad de hemodialisis
42161632-016,Cubierta para detector de aire para unidad de hemodialisis
42161632-017,Filtros para para unidad de hemodialisis
42161632-018,Traba puerta para unidad de hemodialisis
42161632-019,Valvula para unidad de hemodialisis
42161632-020,Ecualizador para unidad de hemodialisis
42161632-021,Bomba para hemoterapia
42161632-022,Tornillo para unidad de hemodialisis
42161632-023,Bisagra para unidad hemodialisis
42161632-024,Monitor para Unidad de Hemodialisis
42161632-025,Placa de Memoria para Unidad de Hemodialisis
42161632-026,Flotador para Unidad de Hemoterapia
42161632-027,Pinza de Entrecerrado
42161632-028,Memoria RAM para Unidad de Hemodialisis
42161632-029,Camara mezcladora 
42161632-030,Bloque de Lavado - Unidad de Hemodialisis
42161632-031,Tapa - Unidad de Hemodialisis
42161632-032,Puerta - Unidad de Hemodialisis
42161632-033,Manguera - Unidad de Hemodialisis
42161632-034,Teclado - Unidad de Hemodialisis
42161632-035,Rodillo - Unidad de Hemodialisis
42161632-036,Resorte - Unidad de Hemodialisis 
42161632-037,Motor - Unidad de Hemodialisis
42161632-038,Calefactor - Unidad de hemodialisis
42161632-039,Panel Frontal - Unidad de Hemodialisis
42161632-040,Pipeta para Desinfectante
42161632-041,Conector de linea de desinfectante
42161632-042,Sistema de iluminacion para pantalla LCD
42161632-043,Bomba Dosificadora para Unidad de Hemodialisis
42161632-044,Lanceta para Unidad de Hemodialisis
42161632-045,Reten para Unidad de Hemodialisis
42161632-046,Resorte para Unidad de Hemodialisis
42161632-047,Linea de Aire - Unidad de Hemodialisis
42161632-048,Junta - Unidad de Hemodialisis
42161632-049,Tarjeta para Unidad de Hemodialisis
42161632-996,Ruleman de bomba para unidad de hemodialisis
42161632-997,Kit de reparo para cabezal de bomba de unidad de hemodialisis
42161632-998,Receptaculo de acoplador para unidad de hemodialisis
42161632-999,Acoplador para unidad de hemodialisis
42161632-9999,Celda de conductividad para equipo de hemodialisis
42161633-001,Membrana de dialisis de celulosa 
42161803-001,Equipo de Hemofiltracion
42171606-9999,Inmovilizador de extremidades inflable
42171607-001,Protector para tiroides (cuellera) de radiaciones ionizantes
42171611-001,Camilla con ruedas y baranda
42171903-001,Botiquin de medicamentos 
42171910-001,Caja de separadores
42171910-002,Caja de traumatologia y ortopedia
42171910-003,Caja de cirugia pediatrica
42171910-004,Caja de procedimiento gineco-obstetrico
42171910-005,Caja de cirugia gineco-obstetrica
42171910-006,Caja metalica para coronaria fenestrada
42171910-007,Caja para material cortante y punzante
42171910-9996,Caja de Cirugia de Alta Complejidad
42171910-9997,Caja de Cirugia Especializada
42171910-9998,Caja de Cirugia General
42171910-9999,Caja de Cirugia Menor
42171911-001,Tubo de Oxigeno
42171916-9999,Recipiente termico para transporte de material biologico
42171917-001,Maletín de Primeros Auxílios
42172001-001,Palitos de madera
42172001-9999,Palillo para Frotis
42172010-001,Kit de reposicion de trauma
42172010-002,Chaleco de extricacion
42172015-001,Kit suministro odontologico para urgencia
42172017-001,Kits de Instrumentales forense
42172017-999,Kits - Mantenimiento Lavador de Microplacas
42172017-9999,Kits para Inspeccion de Agresion Fisica
42172101-001,Desfibrilador
42172101-002,Monitor desfibrilador
42172101-003,Cardiodesfibrilador
42172101-004,Carro de paro
42172101-005,Mangos para paleta para cardiodesfibrilador
42172101-006,Fuente de alimentaciòn para desfibrilador
42172101-007, Placa para desfibrilador
42172101-008,Placa de ECG para desfibrilador
42172101-009,Cable de ECG para desfibrilador
42172101-999,Equipo Analizador de Desfibrilador
42172103-001,Equipo de aspiracion portatil
42172201-001,Caja de legrado 
42172201-002,Cureta uterina
42172201-9999,Papel para Desfibrilador
42181501-001,Baja Lenguas
42181502-9999,Transiluminador para Examen Medico
42181503-001,Gel para Ecografía
42181503-002,Gel p/ Electrocardiógrafo
42181508-001,Papel Tissue Limpiador de Equipos
42181515-001,Bandeja de acero para instrumentales
42181515-002,Caja de curacion
42181515-003,Caja para traqueotomia
42181515-004,Caja de Cirugia
42181515-005,Caja de diagnostico
42181515-006,Caja metalica con tapa
42181515-007,Rinonera
42181515-008,Cajas para instrumental
42181515-009,Bandeja para Toma de Muestra
42181515-010,Tapa para Bandeja de muestras
42181515-9999,Caja de cirugia de transplantes
42181517-001,Electroencefalografo 
42181608-001,Esfigmomanometro o tensiometro 
42181608-002,Pera de goma para aparato de presion
42181608-999,Camara para Esfigmomanometro
42181609-9999,Sistema de Monitorizacion de la tension arterial
42181610-001,Mango para cesta de extraccion de calculos
42181610-002,Manguito de presion
42181702-001,Cable paciente para ECG adaptable
42181702-002,Cable Paciente para ECG de Monitor
42181702-003,Electrodo adulto
42181702-004,Electrodo Pediatrico
42181702-005,Electrodo neonatal
42181702-006,Cordon
42181702-007,Cordon de alta frecuencia monopolar
42181702-008,Latiguillo 
42181705-9997,Tapa de impresora de ECG
42181705-9998,Motor de impresora de ECG
42181705-9999,Cabezal termico de impresora de ECG
42181706-001,Monitor cardiaco
42181706-002,Fuente de alimentacion para monitor cardiaco
42181706-003,Conexión interfase para Monitor Cardiaco
42181706-004,Placa de control para Monitor Cardiaco
42181706-005,Sensor de Saturacion de Oxigeno para Monitor cardiaco
42181706-006,Brazal para PNI para Monitor
42181706-007,Sensor de temperatura para Monitor cardiaco
42181706-008,Fuente de placa para Monitor Cardiaco
42181706-009,Soporte de Monitor Cardiaco
42181706-010,Transductor para Monitor Multiparametrico
42181706-011,Cable para Monitor Multiparametrico
42181706-012,Canula para Monitor Multiparametrico
42181706-999,Panel para Monitor Multiparametrico
42181706-9999,Cable Interfase para Monitor
42181707-001,Electrodo descartable neonatal 
42181708-001,Electrodos de parche de electrocardiografia (ECG)
42181709-001,Papel para electrocardiografia 
42181713-9999,Sistema de Monitorizacion Holter
42181714-001,Kits para Electrocardiografia
42181714-9999,Kit de reparo de pantalla para electrocardiografo (ECG)
42181716-001,Electrocardiografo
42181716-002,Ecocardiografo
42181716-003,Saturometro
42181716-004,Cardiotocografo
42181716-005,Equipo de Ergometria
42181716-006,Papel para ergometria
42181716-999,Equipo Simulador de ECG
42181801-001,Oximetro de pulso
42181801-002,Monitor de oximetro de pulso
42181801-003,Dedal para oximetro
42181901-001,Monitor cardiofetal
42181901-002,Monitor fetal
42181901-003,Trasductor  para Monitor Fetal
42181902-001,Cateter p/ Medicion de Presion Intra-Craneal
42181902-999,Kit /Set para Medicion de Presion Intra-Craneal
42181904-001,Monitor de signos vitales
42181904-002,Monitor multiparametrico
42181904-003,Sensor para monitor de signos vitales
42181904-004,Modulo de Monitor Multiparametrico
42181904-005,Display para Monitor Multiparametrico
42181904-9985,Kit de pequenas partes para monitor multiparametrico
42181904-9986,Sistema medidor de parametros volumetricos
42181904-9987,Sensor de tono vascular para hemodinamia
42181904-9988,Manguera para presion no invasiva para monitor
42181904-9989,Central de Monitoreo de Signos Vitales
42181904-9990,Manguito para Monitor Multiparametrico
42181904-9991,Fuente para Monitor Multiparametrico
42181904-9992,Placa para Monitor Multiparametrico
42181904-9993,Bateria para Monitor Multiparametrico
42181904-9994,Cargador para Monitor Multiparametrico
42181904-9995,Manguera para Monitor Multiparametrico
42181904-9996,Puerto de conexion para Monitor Multiparametrico
42181904-9997,Decodificador para Monitor Multiparametrico
42181904-9998,Boton para Monitor Multiparametrico
42181904-9999,Tecla para Monitor Multiparametrico
42181909-001,Papel para Monitoreo Fetal
42181909-002,Papel termosensible para espectofotometro
42182001-001,Especulo descartable pequeño
42182001-002,Especulo descartable mediano
42182001-003,Especulo descartable grande
42182001-999,Especulo de examen rectal/anal
42182002-001,Anoscopio
42182003-001,Colposcopio 
42182003-002,Video colposcopio
42182003-003,Lamparita colposcopico
42182003-004,Foco para colposcopio
42182004-9999,Dermatoscopio
42182005-001,Otoscopio
42182005-002,Mini oftalmoscopio
42182005-003,Oftalmoscopio directo 
42182005-004,Oftalmoscopio indirecto 
42182005-005,Telescopio de vision frontal
42182005-006,Telescopio de vision oblicua
42182005-007,Compas oftalmologico
42182005-008,Rotador de lente intraocular
42182005-009,Mango electricos para oftalmoscopio
42182005-010,Foco adaptable a oftalmoscopio
42182005-011,Foco adaptable a proyector
42182005-999,Foco para Columna Oftalmologica
42182005-9998,Conjunto Retinoscopio/oftalmoscopio
42182005-9999,Set de Diagnostico Oftalmoscopio/Otoscopio
42182006-998,Estroboscopio
42182006-999,Video laringoscopio
42182007-001,Optica hopkins
42182007-999,Optica para endoscopio
42182012-001,Especulo nasal
42182013-001,Especulo vaginal grande
42182013-002,Especulo vaginal mediano
42182013-003,Especulo vaginal chico
42182013-004,Sets - Especulo Vaginal
42182015-001,Especulos medianos
42182015-002,Espéculo de hartmann
42182018-001,Broncofibroscopio
42182018-002,Espatula pulmonar
42182018-003,Trampa de mocus
42182018-999,Broncoscopio
42182101-001,Estetoscopio Electronico
42182103-001,Estetoscopio Manual
42182103-002,Estetoscopio de pinard madera
42182201-001,Termometro Digital
42182206-001,Termometro  axilar
42182206-002,Termometro rectal
42182206-003,Termometro bucal
42182208-001,Sensores de temperatura de piel
42182208-002,Sensor de SPO
42182208-003,Cable intermedio para SPO
42182208-004,Cable de conexion para presion no invasiva
42182302-001,Martillo de reflejo
42182308-001,Pasta  p/ electroencefalograma
42182308-002,Kit Accesorio para Electroencefalografo
42182309-001,Papel para electroencefalograma
42182309-002,Papel para monitor
42182309-003,Papel para ecocardiografia
42182310-001,Electromiografo
42182310-9999,Equipo para monitoreo neurofisiologico
42182401-001,Equipo de Audiometria 
42182401-9998,Equipo de Otoemision
42182401-9999,Equipo para Potencial Evocado Auditivo
42182409-001,Diapasones
42182416-999,Timpanometro /  Impedanciometro
42182419-001,Electronistagmografo
42182601-001,Lampara de pie con cuello movil
42182601-002,Lampara de mesa para consultorio
42182601-999,Lampara con fibra optica
42182603-999,Lampara frontal 
42182604-001,Linterna para Examen Medico
42182702-9999,Cinta metrica para medicion de craneo
42182703-001,Tallimetro
42182704-001,Plicometro
42182802-001,Bascula de mesa para bebe
42182901-001,Camilla ginecologica
42183001-001,Test  Oftalmologico
42183002-001,Topografo de cornea
42183003-001,Exoftalmometro
42183007-001,Tambor metalico
42183009-001,Armazon-Lente de Prueba
42183009-002,Lente de Diagnostico
42183009-003,Gonioscopio
42183013-001,Prisma Oftalmico
42183014-9999,Camara para fondo de ojos
42183018-001,Tonometro de schiotz 
42183018-002,Tonometro 
42183020-998,Trazadoras del campo visual oftalmicos y acccesorios
42183020-999,Foco para Sinoptoforo
42183021-001,Balon de presion intraocular
42183021-9997,Set de diagnostico para baja vision
42183021-9998,Campimetro
42183021-9999,Caja- Equipos Oftalmologicos
42183022-001,Visuometro
42183022-002,Campímetro computarizado
42183022-003,Cucharilla de enucleacion
42183022-004,Cucharilla de evisceracion
42183022-005,Espatula de nucleo de nagahara
42183022-006,Espatula doble
42183022-007,Espatula para cuerpo extraño
42183022-008,Esfera para enucleacion
42183022-009,Paquimetro Oftalmico
42183022-999,Ansa Oftalmologico
42183023-001,Angiografo
42183023-002,Fotocoagulador
42183023-003,Proyector oftalmologico
42183023-004,Retinoscopio
42183023-005,Lensometros
42183023-006,Lampara de Hendidura
42183023-007,Autorefractometro
42183023-008,Biometro 
42183023-009,Unidad Laser de Diodo Oftalmologico
42183023-010,Caja de prisma
42183023-011,Queratometro
42183023-012,Sinotoforo
42183023-013,Set de inyeccion de gas oftalmologico
42183023-997,Papel para Autorefractometro
42183023-998,Foco para Queratometro
42183023-999,Foco para Lensometro
42183023-9998,AutoQueratoRefractometro
42183023-9999,Fibra optica para Laser fotocoagulador
42183024-001,Mesa electrica para lampara de hendidura
42183025-001,Lente de Vitrectomia
42183028-001,Mangos electricos para retinoscopio
42183028-999,Foco para Retinoscopio
42183029-001,Foroptero
42183047-001,Retinometro
42183301-001,Rinoscopio
42183301-999,Espejo Laringeo
42191501-001,Aerocamara 
42191502-9999,Canasta /cesta metalica
42191607-001,Biombo
42191608-9996,Lampara senalizadora para llamador de enfermeria
42191608-9997,Pulsador cama/pared para llamador de enfermeria
42191608-9998,Central de Llamador de enfermeria
42191608-9999,Timbre con pulsador para llamador de enfermeria
42191702-001,Miniconsola para gas medico
42191703-001,Manifold de cilindros para gases medicinales
42191703-002,Toma para consola para gas medicinal
42191703-996,Caneria de gas medicinal
42191703-997,Conexion para mangueras medicinales
42191703-998,Regulador de Presion para Oxigeno
42191703-999,Filtro para Gas Medico
42191704-001,Subsistema generador de aire comprimido
42191704-002,Subsistema generador de vacio
42191704-003,Equipo Secador de Aire Comprimido
42191705-001,Panel de alarma  visual y acustica para gas medico
42191707-999,Sistemas de generación de oxigeno
42191709-001,Valvula para carga de gas
42191709-002,Valvula esferica sectorizadora
42191709-003,Fluxometro
42191709-004,Humidificador
42191709-005,Caja de valvula
42191709-006,Regulador de vacio - gas medico
42191709-007,Frasco de aspiracion
42191709-008,Soporte para frasco
42191709-009,Valvulas de seguridad para vapor
42191709-010,Colector movil
42191710-001,Transportador de frascos 
42191710-002,Carretilla transportadora de cilindro de oxigeno
42191711-001,Aire  Medicinal
42191802-001,Equipo para Luminoterapia
42191802-002,Incubadora standart cerrada de cuidado intensivo
42191802-003,Servocuna 
42191802-004,Placa  para Servocuna
42191802-005,Conjunto calefactor  para Servocuna
42191802-006,Sensor de Temperatura   para Servocuna
42191802-007,Reloj temporizador   para Servocuna
42191802-008,Ventana   para Servocuna
42191802-009,Lampara   para Servocuna
42191802-010,Resistencia   para Servocuna
42191802-011,Motor para incubadora Servocontrolada
42191802-012,Ventilador  para incubadora Servocontrolada
42191802-013,Placa  para incubadora Servocontrolada
42191802-014,Reloj temporizador   para incubadora Servocontrolada
42191802-015,Sensor de temperatura  para incubadora Servocontrolada
42191802-016,Soporte de motor  para incubadora Servocontrolada
42191802-017,Cupula   para incubadora Servocontrolada
42191802-018,Placa  para incubadora estándar
42191802-019,Motor  para incubadora estándar
42191802-020,Sensor de temperatura  para incubadora estándar
42191802-021,Humidificador para incubadora estándar
42191802-022,Filtro para incubadora estándar
42191802-023,Cupula  para incubadora estándar
42191802-024,Caratula  para incubadora estándar
42191802-025,Placa de control para incubadora estándar
42191802-026,Termostato para incubadora estándar
42191802-028,Motor para incubadora de transporte
42191802-029,Ventilador para incubadora de transporte
42191802-030,Sensor de temperatura para incubadora de transporte
42191802-031,Placa para incubadora de transporte
42191802-032,Lampara para luminoterapia
42191802-033,Reactor para luminoterapia
42191802-034,Manga para Incubadora
42191802-035,Sensor de Oxigeno para incubadora
42191802-036,Puerta para Incubadora
42191802-037,Modulo para Incubadora
42191802-038,Pasacanula
42191802-039,Esquinero
42191802-040,Panel para servocuna
42191802-9999,Incubadora + Servocuna
42191807-001,Cama electrica para paciente
42191807-002,Cama manual para paciente
42191807-003,Cama terapeutica
42191807-004,Cama elastica
42191808-001,Cama para internado
42191809-001,Compresa de vientre
42191809-999,Mecha vaginal
42191810-001,Colchon Termico
42191810-002,Colchon de agua articulado
42191810-003,Circuito integrado para colchon termico
42191810-004,Colchon de Aire
42191811-001,Cuna
42191814-001,Sensor para Incubadora 
42191901-001,Mesita de apoyo de cabecera / alimentacion del paciente
42191901-002,Mesa Rodante para historial clinico
42191902-001,Armario de metal con puerta batiente
42191902-002,Armario tipo estante metalico
42192001-001,Mesa para procedimientos
42192101-001,Apoya Brazo para Extraccion de Sangre
42192102-001,Sillon para extraccion de sangre
42192102-002,Sillon para quimioterapia
42192102-998,Sillon Oftalmologico
42192102-999,Sillon para Dialisis
42192102-9999,Sillon para Hidratacion
42192103-001,Silla de relajacion pediatrica
42192103-002,Silla de relajacion adulto
42192104-001,Butaca
42192104-002,Taburete de metal
42192104-9999,Butaca giratoria con ruedas (uso medico)
42192107-001,Silla para extraccion de sangre
42192204-001,Incubadora portatil cerrada de cuidados intensivos
42192207-001,Camilla con ruedas
42192207-002,Camilla plegable o enrollable
42192207-003,Tabla de alzado
42192207-004,Camilla con escalera
42192207-005,Camilla fija
42192207-006,Piston para Camilla
42192207-007,Rueda para Camilla
42192207-008,Pedal para Camilla
42192207-9998,Camara de aislamiento para camilla de transporte
42192207-9999,Camilla hidraulica / neumatica de paciente
42192210-001,Silla de rueda plegable
42192210-002,Silla de rueda cromada
42192212-001,Salea doble para trasportar pacientes
42192301-999,Silla Montaescalera
42192301-9999,Grua de Transferencia de Paciente
42192302-001,Elevador Hidraulico de 2 toneladas
42192302-002,Elevador Hidraulico de 5 toneladas
42192302-003,Elevador Hidraulico de 20 toneladas
42192302-004,Elevador hidraulico de 3 toneladas
42192302-005,Elevador Electrohidraulico de 10 toneladas
42192302-9999,Elevador Electrohidraulico de 150 toneladas
42192404-001,Carro para curaciones
42192404-002,Carrito para transporte de insumos
42192404-003,Carro de transporte de residuos solidos
42192404-004,Carro para higiene de pacientes
42192404-9999,Carro de Transporte para Nutricion Clinica
42192601-001,Moldes para supositorios
42192602-001,Dispositivo de puncion con graduador 
42192604-001,Teclado para Bomba de Infusión Volumétrica
42192604-002,Bandeja para Administracion de Medicamento
42192605-001,Clip / Kits para aneurisma cobaltado
42192605-002,Clip para aneurisma cerebral permanente recto de titanio.
42192605-003,Clip para aneurisma cerebral permanente semi curvo de titanio.
42192605-004,Clip para aneurisma cerebral permanente bayoneta de titanio.
42192605-005,Clip para aneurisma cerebral permanente fenestrado de titanio.
42192605-006,Clip para aneurisma cerebral temporario recto de titanio.
42192605-007,Clip para aneurisma cerebral temporario semi curvo de titanio.
42201503-001,Chasis con pantalla reforzada para mamografia
42201503-002,Kit de jeringa desechable para contraste
42201503-004,Chasis con pantalla reforzadora radiologico
42201503-005,Chasis para pelicula radiografica
42201503-9999,Chasis para equipo digitalizador de imagenes medicas
42201602-001,Equipo de resonancia magnetica
42201602-002,Conector de y pico conector
42201606-001,Bomba Inyectora de Contraste
42201702-001,Detector  fetal
42201704-001,Densitometro
42201711-001,Transductor para ecografo
42201711-002,Transductor Cavitario
42201711-003,Transductor para ecocardiografo
42201712-001,Equipo doppler vascular
42201718-001,Ecografo
42201718-002,Eco Biometro Oftalmologico
42201718-003,Pelicula para ecografia 
42201718-004,Papel para Ecografo
42201718-005,Placa para Ecografo
42201718-006,Teclado para Ecografo
42201718-007,Trackball para Ecografo
42201718-008,Monitor para Ecografo
42201718-009,Guia de Aguja para Ecografo
42201718-010,Fuente de Alimentacion para Ecografo
42201718-011,Conector para Ecografo
42201718-999,Sonda Oftalmologica
42201718-9999,Sonda para Ecobiometro
42201801-001,Pelicula Angiografica 
42201803-001,Placa mamografica
42201803-002,Mamografo  
42201803-003,Mamometro
42201803-004,Placa Electronica para  Mamografo
42201803-999,Equipo Impresor para mamografo
42201806-9999,Equipo de Angiografia
42201809-001,Conector para Bomba de Contraste
42201810-001,Placa Radiografica Medica
42201810-002,Pelicula radiografica
42201813-001,Placa Tomografica
42201813-002,Disco Duro para Tomografo
42201813-003,Carbon para Tomografo
42201813-004,Codificador para Tomografo
42201813-005,Barrera de Luz para Tomografo
42201813-006,Filtro para Tomografo
42201813-007,Lector para Tomografo
42201813-996,Torre para Tomografo
42201813-997,Cepillo para Equipo de Tomografia
42201813-998,Cable para Equipo de Tomografia
42201813-999,Tanque para equipo  de Tomografia
42201815-001,Negatoscopio
42201817-001,Densitometros oseos radiograficos
42201841-001,Thermal Printer 
42201906-001,Pinza para placa radiografica  
42201906-002,Pinzas para revelar placa radiografica
42202004-001,Timer Electrónico para el colimador de la estativa de 100 w
42202501-001,Tomografo
42202702-001,Acelerador Lineal para radioterapia
42202702-002,Equipo de Braquiterapia
42202802-001,Equipo de Litotripcia
42202802-002,Sonda para Litotrisia
42202802-003,Amortiguador para Sonda de LItotrisia
42202802-004,Bala de Impacto  para Litotrisia
42202802-005,Tubo Guia para Litotrisia
42202802-006,Set de palanca para mango de Litotrisia
42202802-007,Set de Anillos para Litotrisia
42202802-008,Bobina para Equipo de Litotripsia
42202802-009,Filtro para Equipo de Litotripsia
42202802-010,Porta Filtro para Equipo de Litotripsia
42202802-011,Acople para Equipo de Litotripsia
42202802-012,Junta para Equipo de Litotrisia
42202802-013,Anillos para Equipo de Litotripsia
42202802-9999,Transductor para equipo de Litotripcia 
42203101-001,Dosimetro para uso de radiologia
42203301-9999,Equipo de estereotaxia
42203402-001,Cateter para  Embolectomia
42203402-002,Cateter Intravascular
42203402-003,Cateter toraxico
42203402-004,Microcateter Endovascular
42203402-005,Cateter para Revascularizacion
42203403-001,Set introductor
42203403-002,Cateter para dilatacion valvular
42203403-003,Introductor Arterial
42203403-004,Introductores para cateterismo pediatrico
42203403-005,Introductor percutaneo
42203403-006,Introductor con camisa protectora
42203405-001,Conector en Y 
42203405-002,Manometro de presion para angioplastia  coronaria
42203405-003,Conector macho-hembra
42203405-999,Conector de tubo recto
42203405-9998,Dispositivo de Insuflacion para Balon de Angioplastia
42203405-9999,Balon de Angioplastia
42203406-001,Cestos Redondos - Dispositivo para placas contaminadas
42203407-001,Ioversol 
42203408-001,Parche de Pericardio Bovino
42203408-002,Parche de Resina Fluorada
42203408-003,Parche Cardiovascular de Politetrafluoretileno
42203408-004,Filtro de Vena Cava
42203408-005,Set de Extraccion Intravascular
42203408-997,Filtro para Arteria
42203408-998,Parche monocuspide
42203408-999,Parche de PTFE
42203408-9998,Kits de Cierre Vascular
42203408-9999,Kit para retiro de filtros de vena
42203409-001,Valvulotomo de mills
42203501-001,Cable para marcapaso 
42203501-002,Marcapaso Bicameral 
42203501-003,Marcapaso Unicameral 
42203501-004,Clamp aortico curvo adulto con rama
42203501-005,Clamp aortico neonatal curvo
42203501-006,Clamp aortico para anastomosis proximal
42203501-007,Clamp derra neonatal
42203501-008,Shunt para arteria coronaria
42203501-009,Clam Vascular
42203501-010,Marcapaso Definitivo
42203502-001,Electrodo de Marcapaso  Auricular
42203502-002,Electrodo de Marcapaso Ventricular 
42203502-003,Electrodo de Marcapaso Bicameral  
42203502-004,Generador de Marcapaso  Bicameral
42203502-005,Generador de marcapaso Unicameral
42203502-006,Electrodo de Marcapaso Unicameral
42203502-9999,Generador de marcapaso Tricameral
42203503-001,Introductor p/ Electrodo marcapasos temporario 
42203503-002,Electrodo de marcapaso temporario
42203602-001,Equipo de digitalización de imágen radiológica
42203603-9997,Modulo / Sistema de visualizacion de imagenes medicas
42203603-9998,Sistema de integracion entre sistemas: PACS/HIS/RIS
42203603-9999,Sistema de archivo / comunicacion de imagenes medicas
42203604-9995,Estacion / Escaner de imagenes de Anatomia Patologica
42203604-9996,Escaner de placas radiograficas
42203604-9997,Estacion de Diagnostico Especializados de imagenes medicas
42203604-9998,Estacion de Diagnostico General de imagenes medicas
42203604-9999,Estacion de visualizacion de imagenes medicas
42203702-001,Procesadora automatica de placas radiograficas
42203702-002,Junta de Control
42203702-003,Door cover switch
42203702-004,Anti - referencia
42203702-005,Termostato de proteccion temperatura alta
42203702-006,Sensor de temperatura de revelador y fijador
42203702-007,Resistencia para procesador automatico
42203702-008,Correa para procesador automatico
42203702-009,Rodillo para procesador automatico
42203702-010,Placa procesadora de Placa Radiografica
42203702-011,Motor para Procesadora de Placa Radiografica
42203702-012,Sensor para Procesadora de Placa Radiografica
42203702-013,Ducto para Procesadora de Placa Radiografica
42203702-014,Engranaje para Procesadora de Placa Radiografica
42203702-015,Seguro para Procesadora de Placa Radiografica
42203702-016,Resorte para Procesadora de Placa Radiografica
42203702-017,Bomba para Procesadora de placas de rayos x
42203702-989,Tapa para Procesadora de Placa Radiografica
42203702-990,Bloqueador para Procesadora de Placa Radiografica
42203702-991,Boquilla para Procesadora de Placa Radiografica
42203702-992,Soporte para Procesadora de Placa Radiografica
42203702-993,Tubo para Procesadora de Placa Radiografica
42203702-994,Guia para Procesadora de Placa Radiografica
42203702-995,Valvula para Procesadora de Placa Radiografica
42203702-996,Abrazadera para Procesadora de Placa Radiografica
42203702-997,Filtro para Procesadora de Placa Radiografica
42203702-998,Tornillo para Procesadora de Placa Radiografica
42203702-999,Cable para Procesadora de Placa Radiografica
42203702-9999,Digitalizador de imagenes medicas
42203704-001,Liquido revelador para placas radiograficas
42203704-002,Revelador para Galeria de Identificacion
42203704-005,Equipo Revelador de Placa
42203706-001,Liquido revelador concentrado para placas radiograficas
42203706-002,Liquido revelador para placas radiograficas dentales
42203708-001,Liquido fijador para revelador automatico
42203708-002,Liquido fijador para placas radiograficas
